text, label
Just happened a terrible car crash , A
Our Deeds are the Reason of this #earthquake May ALLAH Forgive us al , NA
Heard about #earthquake is different cities  stay safe everyone , NA
there is a forest fire at spot pond  geese are fleeing across the street  I cannot save them all , A
Forest fire near La Ronge Sask. Canada , A
All residents asked to shelter in place are being notified by officers. No other evacuation or shelter in place orders are expected , A
13 000 people receive #wildfires evacuation orders in California  , A
Just got sent this photo from Ruby #Alaska as smoke from #wildfires pours into a school  , A
#RockyFire Update => California Hwy. 20 closed in both directions due to Lake County fire - #CAfire #wildfires , A
Apocalypse lighting. #Spokane #wildfire , NA
#flood #disaster Heavy rain causes flash flooding of streets in Manitou  Colorado Springs areas , A
Typhoon Soudelor kills 28 in China and Taiwa , NA
Were shaking...Its an earthquake , A
Im on top of the hill and I can see a fire in the woods... , A
Theres an emergency evacuation happening now in the building across the street , A
Im afraid that the tornado is coming to our area... , A
Three people died from the heat wave so fa , NA
Haha South Tampa is getting flooded hah- WAIT A SECOND I LIVE IN SOUTH TAMPA WHAT AM I GONNA DO WHAT AM I GONNA DO FVCK #flooding , A
#raining #flooding #Florida #TampaBay #Tampa 18 or 19 days. Ive lost count , NA
#Flood in Bago Myanmar #We arrived Bag , NA
Damage to school bus on 80 in multi car crash #BREAKING  , A
Birmingham Wholesale Market is ablaze BBC News - Fire breaks out at Birminghams Wholesale Market http://t.co/irWqCEZWEU , A
@bbcmtd Wholesale Markets ablaze http://t.co/lHYXEOHY6C , A
#AFRICANBAZE: Breaking news:Nigeria flag set ablaze in Aba. http://t.co/2nndBGwyE , NA
INEC Office in Abia Set Ablaze - http://t.co/3ImaomknnA , A
Barbados #Bridgetown JAMAICA ��� Two cars set ablaze: SANTA CRUZ ��� Head of the St Elizabeth Police Superintende...  http://t.co/wDUEaj8Q4J , A
How the West was burned: Thousands of wildfires ablaze in California alone http://t.co/vl5TBR3wb , NA
Deputies: Man shot before Brighton home set ablaze http://t.co/gWNRhMSO8 , NA
Man wife get six years jail for setting ablaze niece http://t.co/eV1ahOUCZ , NA
Rape victim dies as she sets herself ablaze: A 16-year-old girl died of burn injuries as she set herself ablaze��_ http://t.co/UK8hNrbOo , NA
Police: Arsonist Deliberately Set Black Church In North Carolina��Ablaze http://t.co/pcXarbH9A , NA
#Kurds trampling on Turkmen flag later set it ablaze while others vandalized offices of Turkmen Front in #Diyala http://t.co/4IzFdYC3c , NA
TRUCK ABLAZE : R21. VOORTREKKER AVE. OUTSIDE OR TAMBO INTL. CARGO SECTION. http://t.co/8kscqKfKk , NA
How the West was burned: Thousands of wildfires ablaze in #California alone http://t.co/iCSjGZ9tE1 #climate #energy http://t.co/9FxmN0l0B , NA
@Navista7 Steve these fires out here are something else! California is a tinderbox - and this clown was setting my hood ablaze @News2468 , NA
@nxwestmidlands huge fire at Wholesale markets ablaze http://t.co/rwzbFVNXER , A
Accident on I-24 W #NashvilleTraffic. Traffic moving 8m slower than usual. https://t.co/0GHk693Eg , NA
Accident center lane blocked in #SantaClara on US-101 NB before Great America Pkwy #BayArea #Traffic http://t.co/pmlOhZuRWR , A
Accident cleared in #PaTurnpike on PATP EB between PA-18 and Cranberry slow back to #traffic http://t.co/SL0Oqn0Vy , NA
Reported motor vehicle accident in Curry on Herman Rd near Stephenson involving an overturned vehicle. Please use... http://t.co/YbJezKuRW1 , A
BigRigRadio Live Accident Awarenes , NA
I-77 Mile Marker 31 South Mooresville  Iredell Vehicle Accident Ramp Closed at 8/6 1:18 PM , A
@Traffic_SouthE @roadpol_east Accident on A27 near Lewes is it Kingston Roundabout rather than A283 , A
Traffic accident N CABRILLO HWY/MAGELLAN AV MIR (08/06/15 11:03:58) , A
I-77 Mile Marker 31 to 40 South Mooresville  Iredell Vehicle Accident Congestion at 8/6 1:18 PM , A
the pastor was not in the scene of the accident......who was the owner of the range rover  , NA
I was in a horrible car accident this past Sunday. Im finally able to get around. Thank you GOD? , NA
#TruckCrash Overturns On #FortWorth Interstate http://t.co/Rs22LJ4qFp Click here if youve been in a crash&gt;http://t.co/Ld0unIYw4k , A
Accident in #Ashville on US 23 SB before SR 752 #traffic http://t.co/hylMo0WgFI , A
On the #M42 northbound between junctions J3 and J3A there are currently delays of 10 mins due to an accident c... http://t.co/LwI3prBa31 , A
Carolina accident: Motorcyclist Dies in I-540 Crash With Car That Crossed Median: A motorcycle rider traveling... http://t.co/p18lzRlmy , NA
ACCIDENT - HIT AND RUN - COLD at 500 BLOCK OF SE VISTA TER GRESHAM OR [Gresham Police #PG15000044357] 10:35 #pdx911 , A
FYI CAD:FYI: ;ACCIDENT PROPERTY DAMAGE;NHS;999 PINER RD/HORNDALE DR , A
RT nAAYf: First accident in years. Turning onto Chandanee Magu from near MMA. Taxi rammed into me while I was halfway turned. Everyone conf�� , NA
Accident left lane blocked in #Manchester on Rt 293 NB before Eddy Rd stop and go traffic back to NH-3A delay of 4 mins #traffic , A
;ACCIDENT PROPERTY DAMAGE; PINER RD/HORNDALE DR , A
FYI CAD:FYI: ;ACCIDENT PROPERTY DAMAGE;WPD;1600 S 17TH ST , A
